#------------------------------------------------- WARNING --------------------------------------------
# 
# The data you have obtained from this automated Natural Resource Conservation Service 
# database are subject to revision regardless of indicated Quality Assurance level. 
# Data are released on condition that neither the NRCS nor the United States Government 
# may be held liable for any damages resulting from its use. 
# 
# Help and Tutorials: http://www.wcc.nrcs.usda.gov/report_generator/report_generator_landing.htm
# 
# Support Contact: nrcsprod@midatl.service-now.com
# 
#------------------------------------------------------------------------------------------------------
# 
# Reporting Frequency: Daily
# Date Range: 2014-10-14 to 2018-09-21
#
# Data for the following site(s) are contained in this file:
#
#	SCAN 2192: Eagle Lake, CA
# 
# Data items provided in this file:
#
# Element Name                   Value Type  Function Type  Function Duration  Base Data  Measurement Units    Sensor Depth  Element Code  Description                                              
# Air Temperature Maximum        Value       None           Day                N/A        Degrees fahrenheit   N/A           TMAX          Maximum air temperature - sub-hourly sampling frequency  
# Air Temperature Minimum        Value       None           Day                N/A        Degrees fahrenheit   N/A           TMIN          Minimum air temperature - sub-hourly sampling frequency  
# Precipitation Increment        Value       None           Day                N/A        Inches               N/A           PRCP          Total precipitation                                      
# Relative Humidity              Value       Mean           Day                Hourly     Percent              N/A           RHUM          Relative humidity                                        
# Wind Speed Maximum             Value       Max            Day                Hourly     Miles/hour           N/A           WSPDX         Maximum wind speed                                       
# Wind Speed Average             Value       Mean           Day                Hourly     Miles/hour           N/A           WSPDV         Average wind speed                                       
# Solar Radiation Average        Value       Mean           Day                Hourly     Watts/meter squared  N/A           SRADV         Average solar radiation                                  
# Solar Radiation/langley Total  Value       None           Day                N/A        Langleys             N/A           LRADT         Total solar radiation                                    
# Vapor Pressure - Partial       Value       Mean           Day                Hourly     Inches hg            N/A           PVPV          Partial vapor pressure                                   
# Vapor Pressure - Saturated     Value       Mean           Day                Hourly     Inches hg            N/A           SVPV          Saturated vapor pressure                                 
# Soil Moisture Percent          Value       Mean           Day                Hourly     Percent              -2            SMS           Percent volumetric soil moisture                         
# Soil Moisture Percent          Value       Mean           Day                Hourly     Percent              -4            SMS           Percent volumetric soil moisture                         
# Soil Moisture Percent          Value       Mean           Day                Hourly     Percent              -8            SMS           Percent volumetric soil moisture                         
# Soil Moisture Percent          Value       Mean           Day                Hourly     Percent              -20           SMS           Percent volumetric soil moisture                         
# Soil Moisture Percent          Value       Mean           Day                Hourly     Percent              -40           SMS           Percent volumetric soil moisture                         
# Soil Temperature Observed      Value       Mean           Day                Hourly     Degrees fahrenheit   -2            STO           Observed soil temperature                                
# Soil Temperature Observed      Value       Mean           Day                Hourly     Degrees fahrenheit   -4            STO           Observed soil temperature                                
# Soil Temperature Observed      Value       Mean           Day                Hourly     Degrees fahrenheit   -8            STO           Observed soil temperature                                
# Soil Temperature Observed      Value       Mean           Day                Hourly     Degrees fahrenheit   -20           STO           Observed soil temperature                                
# Soil Temperature Observed      Value       Mean           Day                Hourly     Degrees fahrenheit   -40           STO           Observed soil temperature                                
# 
# Quality Control flags included:
#
# Flag    Name                Description
#  V      Valid               Validated Data
#  N      No Profile          No profile for automated validation
#  E      Edit                Edit, minor adjustment for sensor noise
#  B      Back Estimate       Regression-based estimate for homogenizing collocated Snow Course and Snow Pillow data sets
#  K      Estimate            Estimate
#  X      External Estimate   External estimate
#  S      Suspect             Suspect data
# 
# Quality Assurance flags included:
#
# Flag    Name                Description
#  U      Unknown             Unknown
#  R      Raw                 No Human Review
#  P      Provisional         Preliminary Human Review
#  A      Approved            Processing and Final Review Completed
# 
#------------------------------------------------------------------------------------------------------
# 
# Eagle Lake (2192) 
# California  SCAN Site - 5134 ft
# Reporting Frequency: Daily; Date Range: 2014-10-14 to 2018-09-21
#
# As of: Sep 21, 2018 12:52:19 PM GMT-08:00
#
Date,Station Id,Air Temperature Maximum (degF),Air Temperature Minimum (degF),Precipitation Increment (in),Relative Humidity (pct) Mean of Hourly Values,Wind Speed Maximum (mph) Max of Hourly Values,Wind Speed Average (mph) Mean of Hourly Values,Solar Radiation Average (watt/m2) Mean of Hourly Values,Solar Radiation/langley Total (langley),Vapor Pressure - Partial (inch_Hg) Mean of Hourly Values,Vapor Pressure - Saturated (inch_Hg) Mean of Hourly Values,Soil Moisture Percent -2in (pct) Mean of Hourly Values,Soil Moisture Percent -4in (pct) Mean of Hourly Values,Soil Moisture Percent -8in (pct) Mean of Hourly Values,Soil Moisture Percent -20in (pct) Mean of Hourly Values,Soil Moisture Percent -40in (pct) Mean of Hourly Values,Soil Temperature Observed -2in (degF) Mean of Hourly Values,Soil Temperature Observed -4in (degF) Mean of Hourly Values,Soil Temperature Observed -8in (degF) Mean of Hourly Values,Soil Temperature Observed -20in (degF) Mean of Hourly Values,Soil Temperature Observed -40in (degF) Mean of Hourly Values
2014-10-14,2192,70,43,0.00,39,16.7,3.2,96.93,200.20,0.17,0.47,0.0,2.5,1.6,2.1,2.3,60,60,55,56,59
2014-10-15,2192,54,35,0.26,73,9.5,1.7,94.40,194.90,0.21,0.30,4.2,4.4,1.7,2.6,2.3,55,58,55,56,59
2014-10-16,2192,61,34,0.00,66,5.9,0.8,104.78,216.40,0.20,0.35,7.3,5.3,1.7,3.1,3.5,54,55,54,56,58
2014-10-17,2192,57,38,0.00,72,4.8,0.7,44.46,91.80,0.23,0.33,7.2,5.2,1.7,2.9,3.9,52,55,54,55,58
2014-10-18,2192,64,30,0.00,70,7.3,0.7,102.64,212.00,0.19,0.32,7.0,5.1,1.8,3.1,3.9,52,54,52,55,58
2014-10-19,2192,68,30,0.00,56,8.1,1.3,101.22,209.00,0.16,0.38,6.9,5.0,1.7,2.9,3.8,52,54,52,54,58
2014-10-20,2192,63,35,0.11,67,12.1,2.0,94.56,195.30,0.21,0.34,7.0,4.9,1.7,3.1,3.8,53,54,52,54,57
2014-10-21,2192,51,31,0.00,72,6.2,0.6,96.29,198.80,0.17,0.25,7.8,6.3,1.6,2.9,3.9,48,52,51,54,57
2014-10-22,2192,62,30,0.01,68,8.2,1.0,69.27,143.00,0.19,0.32,7.7,6.0,1.6,3.4,3.9,49,51,50,53,57
2014-10-23,2192,55,36,0.04,74,7.3,0.8,39.53,81.60,0.23,0.32,7.7,5.8,1.6,3.4,3.8,52,53,51,52,56
2014-10-24,2192,67,31,0.00,58,9.7,1.7,101.17,208.90,0.17,0.38,7.8,5.9,1.7,3.5,3.5,50,52,50,52,56
2014-10-25,2192,53,34,0.23,70,12.7,3.1,78.49,162.10,0.21,0.31,8.0,5.9,1.8,3.2,3.5,50,52,50,52,56
2014-10-26,2192,47,29,0.04,79,6.7,0.6,100.85,208.20,0.16,0.22,8.5,7.1,1.6,3.9,7.0,46,49,49,51,55
2014-10-27,2192,49,24,0.00,75,8.5,0.8,72.98,150.70,0.14,0.21,8.1,6.7,1.7,3.7,6.6,43,47,47,51,55
2014-10-28,2192,61,26,0.00,74,9.1,0.7,92.61,191.20,0.18,0.29,8.0,6.3,1.8,3.8,6.4,45,47,46,50,55
2014-10-29,2192,65,32,0.00,71,6.7,0.5,83.85,173.10,0.21,0.34,7.8,6.0,2.0,3.6,6.0,48,49,47,49,54
2014-10-30,2192,62,33,0.00,64,12.0,1.4,71.64,147.90,0.19,0.35,7.8,5.9,2.1,3.8,5.9,49,50,47,49,54
2014-10-31,2192,52,37,0.25,75,10.6,1.1,33.96,70.12,0.21,0.29,7.8,6.1,2.3,3.8,5.7,49,51,49,49,54
2014-11-01,2192,41,28,0.03,83,5.5,0.7,33.45,69.07,0.17,0.21,8.7,7.4,2.3,4.2,7.8,46,49,47,49,53
2014-11-02,2192,41,25,0.00,77,8.0,0.6,84.07,173.60,0.14,0.19,8.3,6.8,2.0,4.1,7.5,43,46,46,49,53
2014-11-03,2192,47,21,0.00,76,8.7,0.6,87.47,180.60,0.13,0.19,8.1,6.5,2.3,4.0,7.2,41,44,44,48,53
2014-11-04,2192,56,28,0.00,74,5.1,0.4,73.72,152.20,0.17,0.26,8.0,6.4,2.6,3.8,6.8,45,46,44,47,52
2014-11-05,2192,57,27,0.00,78,8.0,0.7,82.16,169.70,0.19,0.27,7.8,6.1,2.8,3.8,6.6,45,47,45,47,52
2014-11-06,2192,65,33,0.00,69,7.6,1.1,85.92,177.40,0.20,0.34,7.8,5.9,2.8,3.9,6.5,47,48,45,47,51
2014-11-07,2192,62,30,0.00,72,4.3,0.4,86.40,178.40,0.19,0.31,7.7,5.9,2.9,3.7,6.3,46,48,46,47,51
2014-11-08,2192,64,29,0.00,72,8.3,0.6,89.63,185.10,0.18,0.30,7.6,5.7,2.7,3.7,6.0,46,48,45,47,51
2014-11-09,2192,66,29,0.00,70,4.1,0.4,88.92,183.60,0.19,0.32,7.5,5.6,2.7,3.7,5.8,47,48,46,47,51
2014-11-10,2192,53,27,0.00,70,8.5,1.0,89.51,184.80,0.15,0.24,7.4,5.3,2.7,3.3,5.9,45,47,45,47,51
2014-11-11,2192,54,22,0.00,77,5.1,0.4,83.03,171.50,0.16,0.23,7.3,5.3,2.7,3.6,5.7,42,45,44,47,50
2014-11-12,2192,44,33,0.00,56,10.4,2.8,72.95,150.60,0.13,0.23,7.2,5.2,2.7,3.5,5.6,45,46,44,46,50
2014-11-13,2192,51,31,0.10,83,7.0,1.1,43.45,89.70,0.19,0.24,8.2,5.6,2.7,3.5,5.6,44,47,44,46,50
