#------------------------------------------------- WARNING --------------------------------------------
# 
# The data you have obtained from this automated Natural Resource Conservation Service 
# database are subject to revision regardless of indicated Quality Assurance level. 
# Data are released on condition that neither the NRCS nor the United States Government 
# may be held liable for any damages resulting from its use. 
# 
# Help and Tutorials: http://www.wcc.nrcs.usda.gov/report_generator/report_generator_landing.htm
# 
# Support Contact: nrcsprod@midatl.service-now.com
# 
#------------------------------------------------------------------------------------------------------
# 
# Reporting Frequency: Hourly
# Date Range: 2015-01-14 00:00 to 2019-01-24 20:00
#
# Data for the following site(s) are contained in this file:
#
#	SCAN 2123: Upper Bethlehem, VI
# 
# Data items provided in this file:
#
# Element Name           Value Type  Function Type  Function Duration  Base Data  Measurement Units  Sensor Depth  Element Code  Description                       
# Soil Moisture Percent  Value       None           Instantaneous      N/A        Percent            -2            SMS           Percent volumetric soil moisture  
# Soil Moisture Percent  Value       None           Instantaneous      N/A        Percent            -4            SMS           Percent volumetric soil moisture  
# Soil Moisture Percent  Value       None           Instantaneous      N/A        Percent            -8            SMS           Percent volumetric soil moisture  
# Soil Moisture Percent  Value       None           Instantaneous      N/A        Percent            -20           SMS           Percent volumetric soil moisture  
# Soil Moisture Percent  Value       None           Instantaneous      N/A        Percent            -40           SMS           Percent volumetric soil moisture  
# 
# Quality Control flags included:
#
# Flag    Name                Description
#  V      Valid               Validated Data
#  N      No Profile          No profile for automated validation
#  E      Edit                Edit, minor adjustment for sensor noise
#  B      Back Estimate       Regression-based estimate for homogenizing collocated Snow Course and Snow Pillow data sets
#  K      Estimate            Estimate
#  X      External Estimate   External estimate
#  S      Suspect             Suspect data
# 
# Quality Assurance flags included:
#
# Flag    Name                Description
#  U      Unknown             Unknown
#  R      Raw                 No Human Review
#  P      Provisional         Preliminary Human Review
#  A      Approved            Processing and Final Review Completed
# 
#------------------------------------------------------------------------------------------------------
# 
# Upper Bethlehem (2123) 
# Virgin Islands Of The Us  SCAN Site - 119 ft
# Reporting Frequency: Hourly; Date Range: 2015-01-14 00:00 to 2019-01-24 20:00
#
# As of: Jan 24, 2019 8:30:52 PM GMT-08:00
#
Date,Upper Bethlehem (2123) Soil Moisture Percent -2in (pct),Upper Bethlehem (2123) Soil Moisture Percent -4in (pct),Upper Bethlehem (2123) Soil Moisture Percent -8in (pct),Upper Bethlehem (2123) Soil Moisture Percent -20in (pct),Upper Bethlehem (2123) Soil Moisture Percent -40in (pct)
2015-01-23 14:00,38.4,37.3,,30.5,39.1
2015-01-23 15:00,37.8,37.3,,30.5,39.2
2015-01-23 16:00,38.0,37.2,,30.5,39.2
2015-01-23 17:00,37.8,37.3,,30.5,39.1
2015-01-23 18:00,37.6,37.2,,30.5,39.1
2015-01-23 19:00,37.5,37.2,,30.5,39.2
2015-01-23 20:00,37.2,36.8,,30.5,39.2
2015-01-23 21:00,37.6,37.1,,30.5,39.1
2015-01-23 22:00,37.4,36.9,,30.5,39.1
2015-01-24 00:00,37.2,37.1,,30.5,39.2
2015-01-24 01:00,37.2,36.7,,30.5,39.2
2015-01-24 02:00,37.3,36.8,,30.5,39.1
2015-01-24 04:00,37.4,36.6,,30.5,39.1
2015-01-24 05:00,37.1,36.7,,30.5,39.1
2015-01-24 06:00,37.1,36.5,,30.5,39.2
2015-01-24 07:00,37.1,36.5,,30.5,39.2
2015-01-24 08:00,37.1,36.7,,30.5,39.2
2015-01-24 18:00,36.0,36.2,,30.5,39.3
2015-01-24 19:00,36.2,36.3,,30.5,39.3
2015-01-24 20:00,36.2,36.3,,30.5,39.2
2015-01-24 21:00,36.0,36.2,,30.5,39.1
2015-01-24 22:00,36.0,35.9,,30.5,39.3
2015-01-24 23:00,36.0,35.9,,30.5,39.3
2015-01-25 02:00,35.8,35.9,,30.5,39.2
2015-01-25 03:00,35.8,35.5,,30.5,39.3
2015-01-25 04:00,35.8,35.9,,30.5,39.3
2015-01-25 05:00,35.6,35.7,,30.5,39.3
2015-01-25 06:00,35.7,35.9,,30.5,39.3
2015-01-25 07:00,35.9,35.9,,30.5,39.3
2015-01-25 08:00,35.6,35.7,,30.5,39.3
2015-01-25 22:00,35.4,35.6,,,
2015-01-26 00:00,,35.3,,30.5,39.1
2015-02-08 21:00,,32.1,,29.6,38.9
2015-02-14 00:00,,38.4,,29.5,38.8
2015-02-14 02:00,,38.3,,29.8,38.6
2015-02-14 03:00,,38.1,,29.8,38.6
2015-02-14 04:00,,38.3,,29.8,38.6
2015-02-14 05:00,,38.1,,29.5,38.6
2015-04-05 18:00,,37.8,,26.8,37.2
2015-04-06 00:00,,37.5,,26.8,37.4
2015-04-06 01:00,,37.7,,26.8,37.2
2015-04-06 02:00,,37.5,,26.5,37.4
2015-04-06 04:00,,37.2,,26.5,37.4
2015-04-06 05:00,,,,26.5,37.2
2015-04-06 06:00,,37.1,,26.8,37.4
